SYMBOL,SUM_TTL_TRD_QNTY_M1,SUM_DELIV_QTY_M1,SUM_TTL_TRD_QNTY_M2,SUM_DELIV_QTY_M2,TTL_TRD_RATIO,DELIV_RATIO,Industry
ADANIENT,39430345,10899783,31093825,8497163,0.7885760319875467,0.7795717584469343,Metals & Mining
ADANIPORTS,50094761,24655028,54658370,26107983,1.0910995263556602,1.0589313871393697,Services
APOLLOHOSP,9938439,6400926,9022967,5482480,0.9078857353755454,0.8565135731923788,Healthcare
ASIANPAINT,32166369,16380842,21906625,13972650,0.6810412763716042,0.8529872884434145,Consumer Durables
AXISBANK,179799883,117438317,112482739,73679325,0.6255996228874076,0.6273874394845083,Financial Services
BAJAJ-AUTO,7760445,4249463,5124021,2467773,0.6602741208783774,0.5807258470070218,Automobile and Auto Components
BAJAJFINSV,25876825,15981285,16061154,9117303,0.620677150307273,0.5704987427481583,Financial Services
BAJFINANCE,161253922,102800946,171787027,109893741,1.0653199926510935,1.0689954253922915,Financial Services
BEL,460424820,227957724,300581155,144338000,0.6528343867300638,0.6331788081898905,Capital Goods
BHARTIARTL,127124895,83495382,144176615,91422488,1.1341336014476158,1.0949406519273126,Telecommunication
CIPLA,56665372,30543958,31739673,18442298,0.5601246736719562,0.6037952907085584,Healthcare
COALINDIA,245288370,113946892,147574878,75553051,0.6016383002585896,0.6630549519507737,Oil Gas & Consumable Fuels
DRREDDY,46948077,24557956,28060025,16008541,0.5976820946255158,0.6518678101711722,Healthcare
EICHERMOT,8927523,5035523,11358397,5263780,1.272289861364681,1.0453293530781211,Automobile and Auto Components
ETERNAL,1319335871,715478737,952139740,520900704,0.7216810828301962,0.7280449817197013,Consumer Services
GRASIM,14761374,8713791,12693820,7431294,0.8599348543028582,0.8528198576256878,Construction Materials
HCLTECH,60038027,35389531,79508726,46827299,1.3243061101924618,1.3231963712658412,Information Technology
HDFCBANK,716152183,495433701,569627428,365665687,0.7953999743655044,0.738071887846806,Financial Services
HDFCLIFE,60896724,38242369,56853469,36280899,0.933604720674301,0.9487095059409107,Financial Services
HINDALCO,155216512,84243275,114183059,59044538,0.7356373205964066,0.7008813225744132,Metals & Mining
HINDUNILVR,29822481,16516412,33166452,18383726,1.1121292021277505,1.1130580903406866,Fast Moving Consumer Goods
ICICIBANK,336245245,217204596,267285838,164871555,0.7949133615257519,0.7590610789837983,Financial Services
INDIGO,30508417,17310209,16772222,9753774,0.549757203069566,0.5634694531995541,Services
INFY,150272915,86605249,345119872,173502262,2.296620598595562,2.0033688951116577,Information Technology
ITC,952053120,552706682,424882144,229861040,0.4462798714424674,0.4158825060124748,Fast Moving Consumer Goods
JIOFIN,286207724,130008511,246631887,137387659,0.8617233789259999,1.0567589609575638,Financial Services
JSWSTEEL,40059496,19166703,25181768,12985242,0.628609206666005,0.6774896026718836,Metals & Mining
KOTAKBANK,260286172,181304137,308386953,209153192,1.1847996020318743,1.153604079095007,Financial Services
LT,44247015,24152046,43108321,27222929,0.9742650662423217,1.127147944319086,Construction
M&M,50993498,30744137,47469446,27670176,0.9308921306006503,0.9000147247587402,Automobile and Auto Components
MARUTI,9657891,5265146,6707471,3837625,0.6945068027791989,0.7288734253523074,Automobile and Auto Components
MAXHEALTH,61542933,39423580,59183219,36963228,0.9616574335188087,0.9375918676081675,Healthcare
NESTLEIND,27121662,13659132,16541489,9358730,0.6098995334430464,0.68516286393601,Fast Moving Consumer Goods
NTPC,276287177,175487560,211426162,138043663,0.7652405887805643,0.7866293371450375,Power
ONGC,396300648,203653120,359030432,180873532,0.9059546932661084,0.8881451558414621,Oil Gas & Consumable Fuels
POWERGRID,314139785,214116657,353579386,222172565,1.1255479340192456,1.0376239201231316,Power
RELIANCE,297222836,166815201,216519077,100331592,0.7284738949197026,0.6014535330026668,Oil Gas & Consumable Fuels
SBILIFE,23323595,14019426,17131815,10312531,0.7345272030319511,0.735588675313811,Financial Services
SBIN,205993706,122507495,330536617,196612738,1.6045957103174793,1.6049037489502174,Financial Services
SHRIRAMFIN,133864147,73428160,101933305,58288547,0.7614683041307543,0.7938173447353168,Financial Services
SUNPHARMA,58366401,38594063,44296667,30998844,0.7589412100293798,0.8032023992913107,Healthcare
TATACONSUM,32126531,17065873,17943986,10044583,0.5585410388690892,0.5885771562931471,Fast Moving Consumer Goods
TATASTEEL,724469655,316536948,645896468,263288112,0.8915438535517406,0.8317768704840106,Metals & Mining
TCS,63848056,39358332,97415043,52814011,1.5257323261337823,1.3418762512598348,Information Technology
TECHM,47192104,26976068,53987622,28078746,1.1439969279606605,1.0408761573406473,Information Technology
TITAN,21456660,12327436,18038852,9165608,0.8407110892375608,0.7435129251532923,Consumer Durables
TMPV,216601669,112591141,224385492,109136029,1.035936117371284,0.9693127543667046,Automobile and Auto Components
TRENT,24470410,11153171,18736268,8106173,0.7656703749548945,0.726804332149126,Consumer Services
ULTRACEMCO,7114025,4421495,3712107,2249841,0.5218012306675898,0.5088416926853926,Construction Materials
WIPRO,263332845,138929966,370518037,161985257,1.4070331294981453,1.1659490149159037,Information Technology
