SYMBOL,SUM_TTL_TRD_QNTY_WEEK1,SUM_DELIV_QTY_WEEK1,SUM_TTL_TRD_QNTY_WEEK2,SUM_DELIV_QTY_WEEK2,TTL_TRD_RATIO,DELIV_RATIO,Industry
ADANIENT,6079008,2467042,8782443,3253306,1.4447164734772515,1.3187071805019939,Metals & Mining
ADANIPORTS,9577715,3880057,17614408,7830654,1.8391033769536889,2.01818014529168,Services
APOLLOHOSP,2220576,1623249,2364761,1491332,1.064931351144928,0.9187327390930166,Healthcare
ASIANPAINT,4781150,3191998,8571756,4717748,1.7928230655804567,1.4779921541304224,Consumer Durables
AXISBANK,33247882,21952801,33784809,21456816,1.016149209143608,0.9774067555206281,Financial Services
BAJAJ-AUTO,1149331,542127,1667613,861149,1.4509423307993954,1.5884635887900806,Automobile and Auto Components
BAJAJFINSV,4449035,2721455,9183371,5347946,2.0641264903512786,1.9651054307346623,Financial Services
BAJFINANCE,31727854,20994296,38692136,21874704,1.219500568806198,1.0419355809787574,Financial Services
BEL,71079221,40934212,171439794,70130892,2.4119537550925045,1.7132586307023572,Capital Goods
BHARTIARTL,46570510,29958429,66432677,42075572,1.4264966606549938,1.4044652341416166,Telecommunication
CIPLA,10187247,5813398,7617969,3978224,0.7477946691584095,0.6843199106615443,Healthcare
COALINDIA,41199577,23429734,74577600,31462721,1.8101545071688478,1.342854383237983,Oil Gas & Consumable Fuels
DRREDDY,10971232,6110994,6019617,2905277,0.5486728382008511,0.4754180743754617,Healthcare
EICHERMOT,2498535,1309569,2516410,1373088,1.007154192356721,1.0485037443616945,Automobile and Auto Components
ETERNAL,348756442,199172055,284587059,146844222,0.8160051678701321,0.737273218373933,Consumer Services
GRASIM,3599216,2256740,5288889,3196149,1.4694558481624886,1.4162681567216426,Construction Materials
HCLTECH,29318915,18038084,11429033,5792219,0.3898177337053571,0.32111054588724613,Information Technology
HDFCBANK,158255102,102991061,182384399,96496625,1.1524708947456241,0.9369417507020342,Financial Services
HDFCLIFE,12463445,8150246,19858117,12219145,1.5933088323493223,1.4992363420686934,Financial Services
HINDALCO,23894190,13308602,43551044,19292827,1.822662496615286,1.4496509099903956,Metals & Mining
HINDUNILVR,8527362,5636778,10620731,6073252,1.2454884640759945,1.0774332428915951,Fast Moving Consumer Goods
ICICIBANK,87685934,55799406,94235841,50586970,1.074697351116771,0.9065861740535374,Financial Services
INDIGO,3225930,1948170,14007926,6782385,4.342290750264265,3.481413326352423,Services
INFY,92032143,49655499,53642110,23939922,0.5828627721947103,0.48212025822155163,Information Technology
ITC,65276766,38315110,109780389,63007728,1.6817681960530948,1.6444616236257705,Fast Moving Consumer Goods
JIOFIN,51219978,30663823,77038317,37693821,1.5040677487210166,1.229260324128534,Financial Services
JSWSTEEL,7259508,4023999,7737108,3064172,1.065789582434512,0.7614743443027695,Metals & Mining
KOTAKBANK,66832977,45943887,81343074,52722214,1.2171098408499743,1.147534904915642,Financial Services
LT,13005322,8190726,28095258,14857474,2.160289303102222,1.81393859347755,Construction
M&M,11755457,8179479,14921638,9100178,1.2693371257280768,1.1125620592705232,Automobile and Auto Components
MARUTI,1686831,1014704,2757133,1532673,1.634504582853884,1.5104631498446837,Automobile and Auto Components
MAXHEALTH,15677991,10389775,16433535,9590529,1.048191378602016,0.9230737912996191,Healthcare
NESTLEIND,5125000,3135956,5202250,2706697,1.0150731707317073,0.8631170207745261,Fast Moving Consumer Goods
NTPC,71930625,46691338,71997285,42185648,1.0009267262727106,0.9035005165197879,Power
ONGC,68853990,36067477,256704448,108373327,3.728243606507045,3.004738229957144,Oil Gas & Consumable Fuels
POWERGRID,77529303,49646743,94927261,60765834,1.2244049324163278,1.223964158132186,Power
RELIANCE,59732355,24643910,125221954,64287882,2.0963840116466192,2.608672162818319,Oil Gas & Consumable Fuels
SBILIFE,4138095,2491862,5799140,3388602,1.4014033027274628,1.3598674404922906,Financial Services
SBIN,71999791,46290812,88830728,54604489,1.2337636924529405,1.1795966983685662,Financial Services
SHRIRAMFIN,18836553,10046394,35855244,21422717,1.9034928524343069,2.132378742064068,Financial Services
SUNPHARMA,10638835,7242067,20024213,13276919,1.8821809906817806,1.833305187593542,Healthcare
TATACONSUM,4479905,2714360,6246340,3314760,1.3943018880980735,1.2211939462709442,Fast Moving Consumer Goods
TATASTEEL,146785319,69651719,202728010,74403633,1.3811191158701641,1.0682239299793879,Metals & Mining
TCS,24667698,14493988,17154483,8811477,0.6954229373166478,0.6079401335229476,Information Technology
TECHM,16974438,8911546,7192784,3243459,0.423742099738442,0.36396142711937973,Information Technology
TITAN,3261051,2170903,3837157,1852774,1.1766626771553097,0.8534577546762798,Consumer Durables
TMPV,57312454,33082746,58846846,30113393,1.0267724009863546,0.9102446634871241,Automobile and Auto Components
TRENT,3851173,1967123,3494468,1631583,0.9073775704181557,0.8294260196235823,Consumer Services
ULTRACEMCO,1150312,711054,1451254,758614,1.261617717627913,1.0668866218318158,Construction Materials
WIPRO,87628571,37206235,62708002,27055666,0.7156113729162604,0.7271809684586468,Information Technology
