Industry,SUM_TTL_TRD_QNTY_WEEK1,SUM_TTL_TRD_QNTY_WEEK2,SUM_DELIV_QTY_WEEK1,SUM_DELIV_QTY_WEEK2,TTL_TRD_RATIO,DELIV_RATIO
Automobile and Auto Components,74402608,80709640,44128625,42980481,1.0847689640126594,0.9739818768429789
Capital Goods,71079221,171439794,40934212,70130892,2.4119537550925045,1.7132586307023572
Construction,13005322,28095258,8190726,14857474,2.160289303102222,1.81393859347755
Construction Materials,4749528,6740143,2967794,3954763,1.4191184892477737,1.3325598070486024
Consumer Durables,8042201,12408913,5362901,6570522,1.5429747403726914,1.225180550601251
Consumer Services,352607615,288081527,201139178,148475805,0.8170031353406817,0.7381744644496857
Fast Moving Consumer Goods,83409033,131849710,49802204,75102437,1.580760563427225,1.5080143240246957
Financial Services,540856646,667005176,348046043,377814049,1.2332383838360008,1.0855289310098548
Healthcare,49695881,52460095,31179483,31242281,1.0556225977762623,1.0020140808620848
Information Technology,250621765,152126412,128305352,68842743,0.6069960124971588,0.5365539467129945
Metals & Mining,184018025,262798605,89451362,100013938,1.4281133872619272,1.1180817794590987
Oil Gas & Consumable Fuels,169785922,456504002,84141121,204123930,2.6887034956879403,2.425971125343101
Power,149459928,166924546,96338081,102951482,1.116851508184856,1.0686478382312805
Services,12803645,31622334,5828227,14613039,2.469791532020764,2.507287207584742
Telecommunication,46570510,66432677,29958429,42075572,1.4264966606549938,1.4044652341416166
