SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ADANIENT,EQ,01-Jan-2026,2239.7,2249.0,2287.4,2241.0,2254.4,2260.0,2265.77,1046220,23704.93,44508, 265633, 25.39
ADANIPORTS,EQ,01-Jan-2026,1469.8,1472.8,1490.9,1470.4,1478.3,1481.1,1483.37,981252,14555.59,36178, 340209, 34.67
APOLLOHOSP,EQ,01-Jan-2026,7042.5,7063.0,7125.0,7023.5,7116.0,7111.5,7083.61,81987,5807.64,11561, 30837, 37.61
ASIANPAINT,EQ,01-Jan-2026,2769.5,2775.9,2782.7,2746.1,2756.0,2752.0,2766.47,327945,9072.5,24149, 180477, 55.03
AXISBANK,EQ,01-Jan-2026,1269.4,1270.0,1279.2,1263.8,1273.6,1274.4,1273.36,2022412,25752.59,78736, 1121487, 55.45
BAJAJ-AUTO,EQ,01-Jan-2026,9343.0,9365.0,9585.0,9318.5,9585.0,9558.0,9483.21,306936,29107.39,28387, 136179, 44.37
BAJAJFINSV,EQ,01-Jan-2026,2039.9,2045.0,2048.8,2027.8,2037.5,2037.0,2035.42,270917,5514.31,19191, 153419, 56.63
BAJFINANCE,EQ,01-Jan-2026,986.8,988.2,989.0,969.0,975.6,973.1,975.57,7118751,69448.25,223760, 4781307, 67.16
BEL,EQ,01-Jan-2026,399.6,399.9,400.75,394.6,397.85,397.7,396.62,6084786,24133.43,79957, 2746548, 45.14
BHARTIARTL,EQ,01-Jan-2026,2105.6,2114.8,2123.9,2107.0,2111.4,2110.4,2114.82,2097756,44363.72,85306, 722550, 34.44
CIPLA,EQ,01-Jan-2026,1511.3,1512.0,1512.0,1499.0,1502.0,1500.9,1501.65,228078,3424.94,18814, 96517, 42.32
COALINDIA,EQ,01-Jan-2026,399.0,399.0,402.8,398.25,400.3,400.45,400.6,3161157,12663.54,56238, 1575218, 49.83
DRREDDY,EQ,01-Jan-2026,1271.4,1270.0,1270.0,1248.0,1252.0,1253.4,1253.36,553856,6941.82,25369, 159702, 28.83
EICHERMOT,EQ,01-Jan-2026,7312.5,7317.0,7363.0,7271.5,7349.0,7348.0,7327.5,155326,11381.52,23334, 44217, 28.47
ETERNAL,EQ,01-Jan-2026,278.05,278.6,285.0,278.55,283.55,283.8,283.24,13427852,38032.9,146429, 6482096, 48.27
GRASIM,EQ,01-Jan-2026,2829.0,2833.0,2854.9,2822.3,2851.7,2851.7,2838.14,449775,12765.24,20750, 284533, 63.26
HCLTECH,EQ,01-Jan-2026,1623.3,1622.9,1645.7,1618.4,1632.0,1634.5,1636.32,773806,12661.96,37755, 386921, 50.00
HDFCBANK,EQ,01-Jan-2026,991.2,993.5,997.55,989.5,991.15,991.15,991.88,7132074,70741.48,126886, 2485813, 34.85
HDFCLIFE,EQ,01-Jan-2026,749.85,750.0,753.4,746.9,750.85,750.1,749.68,820228,6149.1,23640, 484839, 59.11
HINDALCO,EQ,01-Jan-2026,886.7,888.1,895.95,882.45,894.3,894.95,892.3,2566505,22901.05,46878, 1308717, 50.99
HINDUNILVR,EQ,01-Jan-2026,2315.9,2322.0,2326.0,2300.0,2323.0,2323.0,2312.95,758866,17552.2,39091, 459415, 60.54
ICICIBANK,EQ,01-Jan-2026,1342.9,1343.9,1348.4,1336.0,1337.6,1338.0,1340.3,4179311,56015.12,92659, 1320425, 31.59
INDIGO,EQ,01-Jan-2026,5059.5,5081.0,5175.0,5062.5,5109.0,5110.5,5123.26,744719,38153.87,49289, 222300, 29.85
INFY,EQ,01-Jan-2026,1615.4,1615.4,1639.6,1614.1,1629.5,1629.8,1630.77,3658165,59656.16,96560, 1356702, 37.09
ITC,EQ,01-Jan-2026,403.0,402.7,402.7,362.7,363.95,363.85,374.71,282626710,1059029.87,1497861, 156367722, 55.33
JIOFIN,EQ,01-Jan-2026,294.95,295.4,296.75,294.15,295.6,295.7,295.6,3697802,10930.63,36567, 1685664, 45.59
JSWSTEEL,EQ,01-Jan-2026,1164.8,1163.5,1176.8,1161.0,1170.0,1171.5,1169.03,1173697,13720.91,31846, 313800, 26.74
KOTAKBANK,EQ,01-Jan-2026,2201.1,2210.0,2220.9,2189.0,2217.0,2217.8,2209.31,1346975,29758.84,55782, 856655, 63.60
LT,EQ,01-Jan-2026,4083.5,4090.0,4146.8,4088.3,4136.0,4140.4,4132.19,1360716,56227.35,103110, 663745, 48.78
M&M,EQ,01-Jan-2026,3709.2,3725.0,3774.0,3721.1,3755.0,3761.0,3756.9,1498161,56284.41,95505, 540724, 36.09
MARUTI,EQ,01-Jan-2026,16697.0,16700.0,16798.0,16602.0,16713.0,16708.0,16718.22,171293,28637.15,39926, 77189, 45.06
MAXHEALTH,EQ,01-Jan-2026,1045.1,1048.2,1054.0,1040.1,1047.7,1049.4,1048.4,1219041,12780.47,34203, 701240, 57.52
NESTLEIND,EQ,01-Jan-2026,1288.0,1293.0,1299.0,1284.0,1292.0,1295.0,1292.81,932297,12052.82,46054, 563514, 60.44
NTPC,EQ,01-Jan-2026,329.55,329.8,336.9,329.6,336.1,336.3,334.63,10357315,34658.64,76770, 5789145, 55.89
ONGC,EQ,01-Jan-2026,240.38,240.9,241.11,237.41,237.9,237.94,238.88,5840586,13951.76,57612, 3083200, 52.79
